small1	8	0.07692307692307693
small1	9	0.07692307692307693
small1	4	0.07692307692307693
small1	5	0.07692307692307693
small1	6	0.07692307692307693
small1	7	0.07692307692307693
small1	1	0.07692307692307693
small1	10	0.07692307692307693
small1	2	0.07692307692307693
small1	3	0.07692307692307693
small2	8	0.1111111111111111
small2	9	0.1111111111111111
small2	4	0.1111111111111111
small2	5	0.1111111111111111
small2	6	0.1111111111111111
small2	7	0.1111111111111111
small2	1	0.1111111111111111
small2	2	0.1111111111111111
small2	3	0.1111111111111111
twitter	Langui_Oficial	9.971083856815236E-5
twitter	gruber	9.971083856815236E-5
twitter	cnnexpansion	9.971083856815236E-5
twitter	analisisweb	9.971083856815236E-5
twitter	FlannaganTW	9.971083856815236E-5
twitter	ICYT_UC3M	9.971083856815236E-5
twitter	rafavargas	9.971083856815236E-5
twitter	mrtorsor	9.971083856815236E-5
twitter	PatriGonchi	9.971083856815236E-5
twitter	Rafa_Uceda98	9.971083856815236E-5
fb	3278	2.5258903763576663E-4
fb	3287	2.5258903763576663E-4
fb	3288	2.5258903763576663E-4
fb	3285	2.5258903763576663E-4
fb	3286	2.5258903763576663E-4
fb	3283	2.5258903763576663E-4
fb	3284	2.5258903763576663E-4
fb	3281	2.5258903763576663E-4
fb	3282	2.5258903763576663E-4
fb	3280	2.5258903763576663E-4
barabasi	41	0.006666666666666667
barabasi	42	0.006666666666666667
barabasi	43	0.006666666666666667
barabasi	38	0.006666666666666667
barabasi	37	0.006666666666666667
barabasi	39	0.006666666666666667
barabasi	34	0.006666666666666667
barabasi	33	0.006666666666666667
barabasi	36	0.006666666666666667
barabasi	35	0.006666666666666667
erdos	41	0.01
erdos	42	0.01
erdos	43	0.01
erdos	38	0.01
erdos	37	0.01
erdos	39	0.01
erdos	34	0.01
erdos	33	0.01
erdos	36	0.01
erdos	35	0.01
